[2020-03-02 15:58:26,829] [26704] [15184] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 15:58:46,492] [17928] [17176] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:00:33,672] [10552] [21432] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:00:38,174] [16028] [13864] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:01:06,682] [9424] [25440] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:01:34,232] [12768] [15188] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:02:21,637] [2164] [17052] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:03:20,664] [7608] [26088] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:04:09,610] [25048] [10584] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:06:01,033] [21900] [25996] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:06:26,671] [14012] [26720] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
